#Constant Temperature fit results; RIPL III discrete level library; March 2020 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  12  36 Mg   1.47013   0.20563   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  12  37 Mg   1.43189   0.19486   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  38 Mg   1.39321   0.18084   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  12  39 Mg   1.35476   0.16515   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  40 Mg   1.31717   0.14940   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  21 Al   2.34094   0.36436   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  22 Al   2.21414   0.34151   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  13  23 Al   2.10730   0.31925   0.00000   1.00000   8   1   1   2  0.00000  0.55000                  0             0.000
  13  24 Al   2.01690   0.29669  -2.01786   0.86434  51  24  14   3  4.48800  0.51100  5.613E-03 *     0             2.349
  13  25 Al   1.93990   0.27421  -0.99520   0.71871  72  25   7   3  5.28500  0.94490  9.759E-03 *     0             2.161
  13  26 Al   1.87386   0.25278  -2.03719   0.79051 214  35  14   6  4.62238  1.85062  4.772E-03 *     0             2.331
  13  27 Al   1.81675   0.23370  -0.00486   0.61003 246  24   7   3  5.82700  1.01456  1.167E-02 *     0             2.372
  13  28 Al   1.76682   0.21834  -1.83518   0.68884 120  33  16  13  4.38500  2.65630  5.028E-03 *     0             2.087
  13  29 Al   1.72257   0.20788  -0.29174   0.61495  50  31  11   5  5.73300  2.86570  5.904E-03 *     0             2.142
  13  30 Al   1.68264   0.20283  -1.36184   0.59529  34  26  14   3  4.81400  0.68752  4.055E-02 *     0             2.865
  13  31 Al   1.64579   0.20267   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  13  32 Al   1.61088   0.20582   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  13  33 Al   1.57680   0.21001   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  13  34 Al   1.54256   0.21277   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  13  35 Al   1.50719   0.21179   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  13  36 Al   1.47013   0.20563   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  37 Al   1.43189   0.19486   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  38 Al   1.39321   0.18084   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  39 Al   1.35476   0.16515   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  13  40 Al   1.31717   0.14940   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  41 Al   1.28101   0.13511   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  42 Al   1.24676   0.12355   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  43 Al   1.21485   0.11556   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  22 Si   2.21414   0.34151   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  23 Si   2.10730   0.31925   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  24 Si   2.01690   0.29669   0.00000   1.00000   3   1   1   2  0.00000  1.87900                  0             0.000
  14  25 Si   1.93990   0.27421   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  14  26 Si   1.87386   0.25278   0.34807   0.64339  71  21   7   4  6.10100  3.33635  5.536E-03 *     0             2.055
  14  27 Si   1.81675   0.23370  -0.13321   0.62233 126  26   7   5  5.78300  2.64760  1.033E-02 *     0             2.360
  14  28 Si   1.76682   0.21834   3.63103   0.61435 300  31   7  17  9.92920  8.58871  6.003E-03 *     0             2.328
  14  29 Si   1.72257   0.20788   1.09538   0.59839  99  35   7   7  7.19700  4.07990  6.342E-03 *     0             2.338
  14  30 Si   1.68264   0.20283   1.75432   0.53922 151  25   7  19  7.25580  6.86520  1.038E-02 *     0             2.193
  14  31 Si   1.64579   0.20267   0.60195   0.63454  97  50   7   4  7.00800  2.31693  3.106E-03 *     0             1.619
  14  32 Si   1.61088   0.20582   1.96364   0.50083  57  17   7   4  6.38800  4.98390  1.182E-02 *     0             1.979
  14  33 Si   1.57680   0.21001   0.00000   1.00000   9   1   1   3  0.00000  1.43490                  0             0.000
  14  34 Si   1.54256   0.21277   0.00000   1.00000  10   1   1   2  0.00000  3.32714                  0             0.000
  14  35 Si   1.50719   0.21179  -1.07464   0.46101  21  11   7   1  2.37700  0.00000  6.692E-02   F   0             1.989
  14  36 Si   1.47013   0.20563   0.00000   1.00000   4   1   1   2  0.00000  1.40800                  0             0.000
  14  37 Si   1.43189   0.19486   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  14  38 Si   1.39321   0.18084   0.00000   1.00000   7   1   1   2  0.00000  1.07400                  0             0.000
